Дата_продажи,Артикул,Наименование_товара,Категория,Количество,Единица_измерения,Цена_за_ед_KZT,Сумма_KZT,ID_Клиента,Склад_отгрузки,Остаток_на_конец_дня,Тип_Транзакции,Примечание_Закупщика
2025-09-01,EKT-CBL-001,Кабель ВВГнг(А)-LS 3х1.5 (бухта 100м),Кабель и провод,146,м,420.0,61320.0,CLNT-1059,Склад Астана (Главный РЦ),4054,Регулярная продажа,Штатный торговый оборот
2025-09-01,EKT-CBL-001,Кабель ВВГнг(А)-LS 3х1.5 (бухта 100м),Кабель и провод,97,м,420.0,40740.0,CLNT-1115,Склад Алматы (Южный РЦ),4103,Регулярная продажа,Штатный торговый оборот
2025-09-01,EKT-CBL-002,Кабель ВВГнг(А)-LS 3х2.5 (бухта 100м),Кабель и провод,229,м,680.0,155720.0,CLNT-1115,Склад Астана (Главный РЦ),5471,Регулярная продажа,Штатный торговый оборот
2025-09-01,EKT-CBL-002,Кабель ВВГнг(А)-LS 3х2.5 (бухта 100м),Кабель и провод,152,м,680.0,103360.0,CLNT-1095,Склад Алматы (Южный РЦ),5548,Регулярная продажа,Штатный торговый оборот
2025-09-01,EKT-CBL-003,Провод СИП-4 4х16 (барабан),Кабель и провод,77,м,950.0,73150.0,CLNT-1148,Склад Астана (Главный РЦ),2323,Регулярная продажа,Штатный торговый оборот
2025-09-01,EKT-CBL-003,Провод СИП-4 4х16 (барабан),Кабель и провод,70,м,950.0,66500.0,CLNT-1070,Склад Алматы (Южный РЦ),2330,Регулярная продажа,Штатный торговый оборот
2025-09-01,EKT-CBL-004,Кабель витая пара UTP 4 пары Cat 5e PVC 305м,Кабель и провод,144,м,180.0,25920.0,CLNT-1087,Склад Астана (Главный РЦ),3456,Регулярная продажа,Штатный торговый оборот
2025-09-01,EKT-CBL-004,Кабель витая пара UTP 4 пары Cat 5e PVC 305м,Кабель и провод,95,м,180.0,17100.0,CLNT-1138,Склад Алматы (Южный РЦ),3505,Регулярная продажа,Штатный торговый оборот
2025-09-01,EKT-CBL-005,Провод ПВС 3х2.5 соединительный белый,Кабель и провод,78,м,540.0,42120.0,CLNT-1011,Склад Астана (Главный РЦ),2172,Регулярная продажа,Штатный торговый оборот
2025-09-01,EKT-CBL-005,Провод ПВС 3х2.5 соединительный белый,Кабель и провод,61,м,540.0,32940.0,CLNT-1115,Склад Алматы (Южный РЦ),2189,Регулярная продажа,Штатный торговый оборот
2025-09-01,EKT-CBL-006,Кабель гибкий резиновый КГ-ХЛ 3х4+1х2.5,Кабель и провод,30,м,1450.0,43500.0,CLNT-1141,Склад Астана (Главный РЦ),720,Регулярная продажа,Штатный торговый оборот
2025-09-01,EKT-CBL-006,Кабель гибкий резиновый КГ-ХЛ 3х4+1х2.5,Кабель и провод,23,м,1450.0,33350.0,CLNT-1100,Склад Алматы (Южный РЦ),727,Регулярная продажа,Штатный торговый оборот
2025-09-01,EKT-AUT-001,Выключатель автоматический 1P 16A C 4.5кА ВА47-29,Модульное оборудование,87,шт,1150.0,100050.0,CLNT-1074,Склад Астана (Главный РЦ),2463,Регулярная продажа,Штатный торговый оборот
2025-09-01,EKT-AUT-001,Выключатель автоматический 1P 16A C 4.5кА ВА47-29,Модульное оборудование,65,шт,1150.0,74750.0,CLNT-1031,Склад Алматы (Южный РЦ),2485,Регулярная продажа,Штатный торговый оборот
2025-09-01,EKT-AUT-002,Выключатель автоматический 1P 25A C 4.5кА ВА47-29,Модульное оборудование,75,шт,1150.0,86250.0,CLNT-1030,Склад Астана (Главный РЦ),1875,Регулярная продажа,Штатный торговый оборот
2025-09-01,EKT-AUT-002,Выключатель автоматический 1P 25A C 4.5кА ВА47-29,Модульное оборудование,56,шт,1150.0,64400.0,CLNT-1020,Склад Алматы (Южный РЦ),1894,Регулярная продажа,Штатный торговый оборот
2025-09-01,EKT-AUT-003,Выключатель автоматический 3P 32A C 6кА Easy9,Модульное оборудование,33,шт,4600.0,151800.0,CLNT-1086,Склад Астана (Главный РЦ),807,Регулярная продажа,Штатный торговый оборот
2025-09-01,EKT-AUT-003,Выключатель автоматический 3P 32A C 6кА Easy9,Модульное оборудование,28,шт,4600.0,128800.0,CLNT-1027,Склад Алматы (Южный РЦ),812,Регулярная продажа,Штатный торговый оборот
2025-09-01,EKT-AUT-004,УЗО 2P 40A 30мА электронное ВД1-63,Модульное оборудование,22,шт,4200.0,92400.0,CLNT-1001,Склад Астана (Главный РЦ),638,Регулярная продажа,Штатный торговый оборот
2025-09-01,EKT-AUT-004,УЗО 2P 40A 30мА электронное ВД1-63,Модульное оборудование,22,шт,4200.0,92400.0,CLNT-1148,Склад Алматы (Южный РЦ),638,Регулярная продажа,Штатный торговый оборот
