Артикул,Наименование_товара,Категория,Склад,Физический_остаток,Зарезервировано,Доступный_остаток,Товар_в_пути,Ожидаемая_дата_поставки,Номер_заказа_поставщику
EKT-CBL-001,Кабель ВВГнг(А)-LS 3х1.5 (бухта 100м),Кабель и провод,Склад Астана (Главный РЦ),2300,227,2073,0,-,-
EKT-CBL-001,Кабель ВВГнг(А)-LS 3х1.5 (бухта 100м),Кабель и провод,Склад Алматы (Южный РЦ),4057,630,3427,0,-,-
EKT-CBL-002,Кабель ВВГнг(А)-LS 3х2.5 (бухта 100м),Кабель и провод,Склад Астана (Главный РЦ),7959,1188,6771,0,-,-
EKT-CBL-002,Кабель ВВГнг(А)-LS 3х2.5 (бухта 100м),Кабель и провод,Склад Алматы (Южный РЦ),5051,384,4667,3700,2026-09-15,PO-2026-2534
EKT-CBL-003,Провод СИП-4 4х16 (барабан),Кабель и провод,Склад Астана (Главный РЦ),1133,132,1001,1100,2026-09-06,PO-2026-4300
EKT-CBL-003,Провод СИП-4 4х16 (барабан),Кабель и провод,Склад Алматы (Южный РЦ),2156,253,1903,0,-,-
EKT-CBL-004,Кабель витая пара UTP 4 пары Cat 5e PVC 305м,Кабель и провод,Склад Астана (Главный РЦ),1871,167,1704,1830,2026-09-04,PO-2026-9595
EKT-CBL-004,Кабель витая пара UTP 4 пары Cat 5e PVC 305м,Кабель и провод,Склад Алматы (Южный РЦ),970,147,823,3050,2026-09-05,PO-2026-2325
EKT-CBL-005,Провод ПВС 3х2.5 соединительный белый,Кабель и провод,Склад Астана (Главный РЦ),3769,385,3384,0,-,-
EKT-CBL-005,Провод ПВС 3х2.5 соединительный белый,Кабель и провод,Склад Алматы (Южный РЦ),4742,394,4348,2200,2026-09-07,PO-2026-7670
EKT-AUT-001,Выключатель автоматический 1P 16A C 4.5кА ВА47-29,Модульное оборудование,Склад Астана (Главный РЦ),731,89,642,924,2026-09-15,PO-2026-8783
EKT-AUT-001,Выключатель автоматический 1P 16A C 4.5кА ВА47-29,Модульное оборудование,Склад Алматы (Южный РЦ),1693,227,1466,0,-,-
EKT-AUT-002,Выключатель автоматический 1P 25A C 4.5кА ВА47-29,Модульное оборудование,Склад Астана (Главный РЦ),2531,179,2352,0,-,-
EKT-AUT-002,Выключатель автоматический 1P 25A C 4.5кА ВА47-29,Модульное оборудование,Склад Алматы (Южный РЦ),1857,260,1597,0,-,-
EKT-AUT-003,Выключатель автоматический 3P 32A C 6кА Easy9,Модульное оборудование,Склад Астана (Главный РЦ),589,72,517,0,-,-
EKT-AUT-003,Выключатель автоматический 3P 32A C 6кА Easy9,Модульное оборудование,Склад Алматы (Южный РЦ),681,113,568,0,-,-
EKT-AUT-004,УЗО 2P 40A 30мА электронное ВД1-63,Модульное оборудование,Склад Астана (Главный РЦ),689,51,638,0,-,-
EKT-AUT-004,УЗО 2P 40A 30мА электронное ВД1-63,Модульное оборудование,Склад Алматы (Южный РЦ),1024,122,902,300,2026-09-05,PO-2026-4278
EKT-AUT-005,Дифференциальный автомат 1P+N 16A C 30мА АВДТ32,Модульное оборудование,Склад Астана (Главный РЦ),848,86,762,318,2026-09-14,PO-2026-4907
EKT-AUT-005,Дифференциальный автомат 1P+N 16A C 30мА АВДТ32,Модульное оборудование,Склад Алматы (Южный РЦ),976,79,897,0,-,-
EKT-AUT-006,Автоматический выключатель дифференциальный 3P+N 63A,Модульное оборудование,Склад Астана (Главный РЦ),76,12,64,0,-,-
EKT-AUT-006,Автоматический выключатель дифференциальный 3P+N 63A,Модульное оборудование,Склад Алматы (Южный РЦ),85,10,75,0,-,-
EKT-LGT-001,Панель светодиодная LED 600x600 36W 4000K Опал,Светотехника,Склад Астана (Главный РЦ),756,52,704,0,-,-
EKT-LGT-001,Панель светодиодная LED 600x600 36W 4000K Опал,Светотехника,Склад Алматы (Южный РЦ),1303,166,1137,448,2026-09-10,PO-2026-5110
EKT-LGT-002,Прожектор светодиодный 50W 6500K IP65 SMD,Светотехника,Склад Астана (Главный РЦ),647,76,571,416,2026-09-15,PO-2026-1496
EKT-LGT-002,Прожектор светодиодный 50W 6500K IP65 SMD,Светотехника,Склад Алматы (Южный РЦ),762,62,700,480,2026-09-12,PO-2026-2221
EKT-LGT-003,Лампа светодиодная LED A60 11W E27 4000K,Светотехника,Склад Астана (Главный РЦ),1670,121,1549,0,-,-
EKT-LGT-003,Лампа светодиодная LED A60 11W E27 4000K,Светотехника,Склад Алматы (Южный РЦ),1133,92,1041,0,-,-
EKT-LGT-004,Светильник пылевлагозащищенный ЛСП 2х36W IP65,Светотехника,Склад Астана (Главный РЦ),189,14,175,0,-,-
EKT-LGT-004,Светильник пылевлагозащищенный ЛСП 2х36W IP65,Светотехника,Склад Алматы (Южный РЦ),390,36,354,0,-,-
EKT-LGT-005,Светильник аварийный светодиодный 30 LED с АКБ,Светотехника,Склад Астана (Главный РЦ),220,17,203,1200,2026-09-06,PO-2026-8812
EKT-LGT-005,Светильник аварийный светодиодный 30 LED с АКБ,Светотехника,Склад Алматы (Южный РЦ),127,18,109,285,2026-09-06,PO-2026-4011
EKT-ELU-001,Розетка 2-местная с заземлением белая Glossa,Электроустановочные изделия,Склад Астана (Главный РЦ),1280,194,1086,0,-,-
EKT-ELU-001,Розетка 2-местная с заземлением белая Glossa,Электроустановочные изделия,Склад Алматы (Южный РЦ),553,64,489,1190,2026-09-09,PO-2026-5094
EKT-ELU-002,Выключатель 1-клавишный белый Glossa,Электроустановочные изделия,Склад Астана (Главный РЦ),1039,132,907,1300,2026-09-10,PO-2026-9463
EKT-ELU-002,Выключатель 1-клавишный белый Glossa,Электроустановочные изделия,Склад Алматы (Южный РЦ),1810,262,1548,1300,2026-09-06,PO-2026-1700
EKT-ELU-003,Рамка 3 поста универсальная белая Glossa,Электроустановочные изделия,Склад Астана (Главный РЦ),655,70,585,0,-,-
EKT-ELU-003,Рамка 3 поста универсальная белая Glossa,Электроустановочные изделия,Склад Алматы (Южный РЦ),792,123,669,0,-,-
EKT-ELU-004,Вилка каучуковая прямая 16A IP44,Электроустановочные изделия,Склад Астана (Главный РЦ),778,125,653,700,2026-09-14,PO-2026-3609
EKT-ELU-004,Вилка каучуковая прямая 16A IP44,Электроустановочные изделия,Склад Алматы (Южный РЦ),1001,80,921,950,2026-09-10,PO-2026-9164
EKT-CNS-001,Кабель-канал 25х16 мм белый (упак. 40м),Кабельнесущие системы,Склад Астана (Главный РЦ),3044,370,2674,4400,2026-09-08,PO-2026-7319
EKT-CNS-001,Кабель-канал 25х16 мм белый (упак. 40м),Кабельнесущие системы,Склад Алматы (Южный РЦ),1197,136,1061,0,-,-
EKT-CNS-002,Лоток перфорированный оцинкованный 100х50х3000,Кабельнесущие системы,Склад Астана (Главный РЦ),2322,199,2123,0,-,-
EKT-CNS-002,Лоток перфорированный оцинкованный 100х50х3000,Кабельнесущие системы,Склад Алматы (Южный РЦ),1649,264,1385,0,-,-
EKT-CNS-003,Труба гофрированная ПВХ d20 с протяжкой (100м),Кабельнесущие системы,Склад Астана (Главный РЦ),2999,537,2462,6700,2026-09-05,PO-2026-3596
EKT-CNS-003,Труба гофрированная ПВХ d20 с протяжкой (100м),Кабельнесущие системы,Склад Алматы (Южный РЦ),5935,325,5610,0,-,-
EKT-SHT-001,Корпус металлический ЩРн-24з-1 36 УХЛ3 IP31,Щитовое оборудование,Склад Астана (Главный РЦ),140,20,120,192,2026-09-11,PO-2026-6039
EKT-SHT-001,Корпус металлический ЩРн-24з-1 36 УХЛ3 IP31,Щитовое оборудование,Склад Алматы (Южный РЦ),316,36,280,0,-,-
EKT-SHT-002,Счетчик э/э многотарифный 3-фазный прямого включения,Щитовое оборудование,Склад Астана (Главный РЦ),142,11,131,0,-,-
EKT-SHT-002,Счетчик э/э многотарифный 3-фазный прямого включения,Щитовое оборудование,Склад Алматы (Южный РЦ),200,26,174,0,-,-
EKT-SHT-003,Шина нулевая изолированная на DIN-рейку 8х12 / 12 групп,Щитовое оборудование,Склад Астана (Главный РЦ),955,134,821,0,-,-
EKT-SHT-003,Шина нулевая изолированная на DIN-рейку 8х12 / 12 групп,Щитовое оборудование,Склад Алматы (Южный РЦ),986,77,909,0,-,-
EKT-SHT-004,Наконечник кабельный медный луженый ТМЛ 16-8-6,Щитовое оборудование,Склад Астана (Главный РЦ),4892,751,4141,0,-,-
EKT-SHT-004,Наконечник кабельный медный луженый ТМЛ 16-8-6,Щитовое оборудование,Склад Алматы (Южный РЦ),5184,533,4651,0,-,-
